Date,Country,Value
6/12/2020,Norway,9.6331
6/15/2020,Norway,9.6138
6/16/2020,Norway,9.5735
6/17/2020,Norway,9.5397
6/18/2020,Norway,9.5402
6/19/2020,Norway,9.6154
6/22/2020,Norway,9.5965
6/23/2020,Norway,9.4813
6/24/2020,Norway,9.6145
6/25/2020,Norway,9.6892
6/26/2020,Norway,9.7166
6/29/2020,Norway,9.7074
6/30/2020,Norway,9.6577
7/1/2020,Norway,9.5139
7/2/2020,Norway,9.5357
7/3/2020,Norway,
7/6/2020,Norway,9.407
7/7/2020,Norway,9.4318
7/8/2020,Norway,9.416
7/9/2020,Norway,9.4554
7/10/2020,Norway,9.4213
7/13/2020,Norway,9.3667
7/14/2020,Norway,9.3875
7/15/2020,Norway,9.3149
7/16/2020,Norway,9.2516
7/17/2020,Norway,9.2712
7/20/2020,Norway,9.2486
7/21/2020,Norway,9.1262
7/22/2020,Norway,9.1262
7/23/2020,Norway,9.1544
7/24/2020,Norway,9.1907
7/27/2020,Norway,9.1115
7/28/2020,Norway,9.0953
7/29/2020,Norway,9.0647
7/30/2020,Norway,9.1302
7/31/2020,Norway,9.0889
8/3/2020,Norway,9.1382
8/4/2020,Norway,9.1165
8/5/2020,Norway,8.9435
8/6/2020,Norway,8.9802
8/7/2020,Norway,9.0623
8/10/2020,Norway,9.0288
8/11/2020,Norway,8.9875
8/12/2020,Norway,8.9387
8/13/2020,Norway,8.8831
8/14/2020,Norway,8.8945
8/17/2020,Norway,8.8633
8/18/2020,Norway,8.8387
8/19/2020,Norway,8.8504
8/20/2020,Norway,8.9437
8/21/2020,Norway,9.0457
8/24/2020,Norway,8.9953
8/25/2020,Norway,8.9755
8/26/2020,Norway,8.9201
8/27/2020,Norway,8.8878
8/28/2020,Norway,8.788
8/31/2020,Norway,8.7043
9/1/2020,Norway,8.748
9/2/2020,Norway,8.8481
9/3/2020,Norway,8.9253
9/4/2020,Norway,8.95
9/7/2020,Norway,
9/8/2020,Norway,9.0929
9/9/2020,Norway,9.0271
9/10/2020,Norway,8.9975
9/11/2020,Norway,9.0548
9/14/2020,Norway,9.0191
9/15/2020,Norway,9.04
9/16/2020,Norway,9.0109
9/17/2020,Norway,9.0901
9/18/2020,Norway,9.062
9/21/2020,Norway,9.2999
9/22/2020,Norway,9.3559
9/23/2020,Norway,9.4414
9/24/2020,Norway,9.534
9/25/2020,Norway,9.5938
9/28/2020,Norway,9.4839
9/29/2020,Norway,9.4636
9/30/2020,Norway,9.3666
10/1/2020,Norway,9.3095
10/2/2020,Norway,9.3346
10/5/2020,Norway,9.2312
10/6/2020,Norway,9.2845
10/7/2020,Norway,9.3064
10/8/2020,Norway,9.2768
10/9/2020,Norway,9.1531
10/12/2020,Norway,
10/13/2020,Norway,9.2129
10/14/2020,Norway,9.2179
10/15/2020,Norway,9.3691
10/16/2020,Norway,9.358
10/19/2020,Norway,9.3002
10/20/2020,Norway,9.2666
10/21/2020,Norway,9.2033
10/22/2020,Norway,9.2425
10/23/2020,Norway,9.2637
10/26/2020,Norway,9.2479
10/27/2020,Norway,9.1346
10/28/2020,Norway,9.3456
10/29/2020,Norway,9.5865
10/30/2020,Norway,9.5617
11/2/2020,Norway,9.5665
11/3/2020,Norway,9.3807
11/4/2020,Norway,9.2933
11/5/2020,Norway,9.1882
11/6/2020,Norway,9.1552
11/9/2020,Norway,9.0415
11/10/2020,Norway,9.0318
11/11/2020,Norway,
11/12/2020,Norway,9.1156
11/13/2020,Norway,9.1685
11/16/2020,Norway,9.0702
11/17/2020,Norway,9.0661
11/18/2020,Norway,8.9914
11/19/2020,Norway,9.0294
11/20/2020,Norway,9.0056
1/1/2020,Singapore,
1/2/2020,Singapore,1.3475
1/3/2020,Singapore,1.3486
1/6/2020,Singapore,1.3493
1/7/2020,Singapore,1.351
1/8/2020,Singapore,1.3504
1/9/2020,Singapore,1.3517
1/10/2020,Singapore,1.3481
1/13/2020,Singapore,1.3465
1/14/2020,Singapore,1.3466
1/15/2020,Singapore,1.3461
1/16/2020,Singapore,1.3468
1/17/2020,Singapore,1.3474
1/20/2020,Singapore,
1/21/2020,Singapore,1.3492
1/22/2020,Singapore,1.3491
1/23/2020,Singapore,1.3524
1/24/2020,Singapore,1.3512
1/27/2020,Singapore,1.3571
1/28/2020,Singapore,1.3587
1/29/2020,Singapore,1.3606
1/30/2020,Singapore,1.3628
1/31/2020,Singapore,1.3647
2/3/2020,Singapore,1.3689
2/4/2020,Singapore,1.37
2/5/2020,Singapore,1.3813
2/6/2020,Singapore,1.3855
2/7/2020,Singapore,1.3895
2/10/2020,Singapore,1.3894
2/11/2020,Singapore,1.3863
2/12/2020,Singapore,1.3858
2/13/2020,Singapore,1.3885
2/14/2020,Singapore,1.3921
2/17/2020,Singapore,
2/18/2020,Singapore,1.3921
2/19/2020,Singapore,1.3945
2/20/2020,Singapore,1.4005
2/21/2020,Singapore,1.397
2/24/2020,Singapore,1.399
2/25/2020,Singapore,1.3986
2/26/2020,Singapore,1.3968
